SEQ,MNAME,PRICE,MYEAR,MILEAGE,COLOR,TRANS,F_TYPE,DISP,VTYPE,VNUM,CU_HIS,MVD_HIS,AVD_HIS,FD_HIS,VT_HIS,US_HIS,L_NAME
6315,현대 싼타페 TM 가솔린 2.0T 2WD 인스퍼레이션,2550,2019,79021,진청색,오토,가솔린,1998,SUV,40우2026,0,0,0,0,0,1,기아 레이
6316,현대 더 뉴 그랜저 하이브리드 2.4 익스클루시브,780,2012,125641,검정색,오토,가솔린,2359,대형,20로3166,0,0,0,0,0,3,현대 그랜저
6317,현대 더 뉴 그랜저 하이브리드 2.4 르블랑,490,2011,159000,은색,오토,가솔린,2359,대형,43거1292,0,0,0,0,0,4,현대 그랜저
6318,현대 올 뉴 투싼 디젤(e-VGT R)1.6 2WD 스마트,1090,2013,111538,은색,오토,디젤,1995,SUV,27오8276,0,0,0,0,0,2,현대 투싼
6319,현대 그랜저IG 3.0 익스클루시브 기본형,1660,2019,122191,회색,오토,가솔린,2359,대형,252모1657,1,0,0,0,0,0,현대 그랜저
6320,현대 투싼ix 디젤 4WD LMX20 프리미엄,1700,2018,34749,흰색,오토,디젤,2349,트럭,81러0732,0,0,0,0,0,0,BMW X2
6321,현대 포터2 초장축 슈퍼캡 CRDi Smart,1520,2017,42914,민트,오토,가솔린,1591,SUV,43라6026,0,0,0,0,0,1,현대 포터
6322,현대 싼타페 더 프라임 디젤 R2.0 4WD 5인승 프리미엄,1450,2016,106345,회색,오토,디젤,1995,SUV,23더0355,0,0,0,0,0,0,현대 싼타페
6323,현대 쏘나타 (DN8) 2.0 프리미엄,1650,2019,116715,흰색,오토,가솔린,1995,중형,252모1692,1,0,0,0,0,2,현대 쏘나타
6324,현대 그랜저IG 2.4 프리미엄 스페셜,1670,2018,109017,검정,오토,가솔린,2359,대형,311모1481,1,0,0,0,0,2,현대 그랜저
6325,현대 제네시스 BH330 LUXURY 기본형,380,2008,151740,검정,오토,가솔린,3342,대형,65로5349,0,0,0,0,0,5,현대 제네시스
6326,현대 올 뉴 투싼 디젤(e-VGT R)2.0 2WD 모던,1245,2016,83300,회색,오토,디젤,1995,SUV,14노0572,0,0,0,0,0,5,현대 투싼
6327,현대 더 뉴 아반떼 AD Smartstream G1.6 스마트,1480,2019,50409,흰색,오토,가솔린,1598,준중형,226노5929,1,0,0,0,0,1,현대 아반떼
6328,현대 포터2 초장축 일반캡 CRDi HI-SUP 기본형,720,2016,160000,파랑,수동,디젤,1000,트럭,95누8271,0,0,0,0,0,1,현대 포터
6329,현대 그랜드스타렉스 5인승 밴 CVX 럭셔리,450,2011,140774,회색,오토,디젤,2497,승합,91노7540,0,0,0,0,0,3,현대 스타렉스
6330,현대 그랜저IG 2.4 프리미엄 기본형,1799,2017,64893,검정색,오토,가솔린,2359,대형,258구4578,1,0,0,0,0,2,현대 그랜저
6331,현대 올 뉴 투싼 디젤(e-VGT UⅡ)1.7 2WD 모던 피버 패키지,1499,2016,86956,흰색,오토,디젤,1685,SUV,11루0554,0,0,0,0,0,1,현대 투싼
6332,현대 그랜저HG HG300 프리미엄,1170,2016,128360,검정,오토,가솔린,2999,대형,36루0117,0,0,0,0,0,2,현대 그랜저
6333,현대 그랜드스타렉스 12인승,1499,2016,69176,노랑색,오토,디젤,2497,승합,71고9089,0,0,0,0,0,1,현대 스타렉스
6334,현대 싼타페 더 프라임 디젤 R2.2 4WD 5인승 익스클루시브 스페셜,1470,2015,131290,갈색,오토,디젤,2199,SUV,48머4944,0,0,0,0,0,3,현대 싼타페
6335,현대 올 뉴 아반떼(CN7) 1.6 가솔린 인스퍼레이션,1890,2021,65218,회색,오토,가솔린,1998,소형,196저3701,0,0,0,0,0,0,기아 레이
6336,현대 쏘나타 하이브리드 2.0 로얄,599,2012,157270,흰색,오토,하이브리드(가솔린),1999,중형,273소5794,0,0,0,0,0,6,현대 쏘나타
6337,현대 아반떼AD 1.6 e-VGT 스마트 스페셜,710,2016,124234,검정색,오토,디젤,1849,준중형,53저0101,0,0,0,0,0,1,현대 아반떼
6338,현대 그랜드스타렉스 5인승 밴 CVX 프리미엄,450,2010,126000,은색,수동,디젤,2497,승합,87서5676,0,0,0,0,0,1,현대 스타렉스
6339,현대 더 뉴 그랜저 LPi 3.0 익스클루시브,3190,2022,23000,흰색,오토,LPG,2999,대형,100서9904,0,0,0,0,0,0,현대 그랜저
6340,현대 아반떼AD 1.6 T-GDi 스포츠,889,2017,110660,검정,오토,가솔린,1591,준중형,11거4415,0,0,0,0,0,4,현대 아반떼
6341,현대 더 뉴 그랜저 2.5 프리미엄 초이스,1130,2018,140549,흰색,오토,디젤,2497,트럭,94루8348,1,0,0,0,0,3,현대 그랜저
6342,현대 올 뉴 투싼 디젤(e-VGT R)2.0 2WD 모던,280,2008,175712,회색,오토,LPG,1998,중형,10다7304,0,0,0,0,0,3,현대 투싼
6343,현대 코나 하이브리드 1.6 HEV 프리미엄 스페셜,2350,2019,74076,검정색,오토,가솔린,2999,대형,235두1566,1,0,0,0,0,1,현대 코나
6344,현대 그랜저IG 2.4 프리미엄 기본형,1190,2013,185044,검정색,오토,가솔린,3778,대형,21구1529,0,0,0,0,0,2,현대 그랜저
6345,현대 더 뉴 그랜드 스타렉스 밴 5인승 모던,3090,2015,140771,흰색,수동,디젤,3500,트럭,95주9911,0,0,0,0,0,1,현대 스타렉스
6346,현대 포터2 초장축 슈퍼캡 CRDi Style,1450,2017,124910,회색,오토,디젤,1995,SUV,04거7740,0,0,0,0,0,0,현대 포터
6347,현대 싼타페 더 프라임 디젤 R2.0 2WD 5인승 프리미엄,1350,2015,61916,인기색상,오토,디젤,1685,SUV,23부0399,0,0,0,0,0,4,현대 싼타페
6348,현대 올 뉴 투싼 디젤(e-VGT UⅡ)1.7 2WD 스타일,1190,2017,111503,흰색,오토,디젤,1685,SUV,34너1181,0,0,0,0,0,3,현대 투싼
